leaked blue dye,nucleoid blue dye
322,155
353,171
273,167
304,178
292,148
307,136
295,177
324,174
292,177
299,171
289,184
306,160
289,174
301,181
249,172
300,162
352,140
300,167
295,180
297,168
273,184
334,180
323,158
278,159
289,162
296,178
296,178
328,169
304,149
280,181
290,141
298,151
340,161
304,159
304,196
298,137
270,163
310,160
320,187
292,156
237,167
322,168
270,140
300,164
322,182
322,190
282,168
300,180
307,139
265,166
288,158
298,149
304,173
288,166
