nucleoid red dye,leaked red dye
360,143
410,161
530,173
275,140
399,175
300,154
332,118
395,143
345,105
330,156
340,130
289,141
337,112
367,163
335,130
337,129
420,138
350,156
320,148
370,156
330,123
445,119
302,129
389,150
310,132
338,101
298,130
317,159
312,130
320,156
252,120
324,130
316,114
331,110
324,114
304,130
300,114
289,130
302,147
334,158
313,126
306,145
288,139
250,132
438,112
256,106
315,110
387,131
230,133
305,148
259,123
330,124
318,148
354,137
